"Program Name","Address","Phone","Accreditation Status","Email","lon","lat"
" Advocate Health Care/Advocate Illinois Masonic Medical Center Program","Advocate Illinois Masonic Medical Center Department of Anesthesiology Rm 4830 836 West Wellington Avenue
Chicago, IL 60657
","(310) 880-3889
","Continued Accreditation","Katayoun.Aghajani@aah.org",-87.6511754,41.9367723
" Albany Medical Center Program","Albany Medical Center Hospital 47 New Scotland Avenue
Mail Code 131
Albany, NY 12208-3479
","(518) 262-4302
","Continued Accreditation","EhlersME@amc.edu",-73.7771411,42.6536483
" Allegheny Health Network Medical Education Consortium (AGH/WPH) Program","Allegheny General Hospital 320 E. North Avenue Pittsburgh, PA 15212
","(412) 359-8191
","Probationary Accreditation","christina.wolbert@ahn.org",-80.0033123,40.4569171
" Baylor College of Medicine Program","Baylor College of Medicine Department of Anesthesiology 6565 Fannin Street NC-114 Houston, TX 77030
","(713) 798-5117
","Continued Accreditation","viney@bcm.edu",-95.3940832,29.6987662
" Beaumont Health (Royal Oak) Program","Beaumont Hospital, Royal Oak Anesthesiology Residency Program 300 RO 3601 W. Thirteen Mile Road
Royal Oak, MI 48073 ","(248) 898-0833
","Continued Accreditation","roy.soto@beaumont.edu",-83.1926244,42.5145386
" Beth Israel Deaconess Medical Center Program","Beth Israel Deaconess Medical Center Dept of Anesthesia, Critical Care & Pain Medicine
330 Brookline Ave, YA 02Q01 Boston, MA 02215 ",NA,"Continued Accreditation","seneves@bidmc.harvard.edu",-71.1052038,42.3377467
" Boston University Medical Center Program","Boston Medical Center 750 Albany Street Second Floor
Boston, MA 02118
","(617) 638-6950
","Continued Accreditation","elizabeth.colston@bmc.org",-71.0721548,42.3348727
" Brigham and Women's Hospital Program","Brigham and Women's Hospital 75 Francis Street
Boston, MA 02115
","(617) 732-8218
","Continued Accreditation","codonnell7@partners.org",-71.1067408,42.3362036
" Brown
University/Rhode Island Hospital- Lifespan Program","Department of Anesthesiology Rhode Island Hospital
593 Eddy street
Providence, RI 02903
","(401) 606-4286
","Continued Accreditation","gildasio.de-oliveira@lifespan.org",-71.4109295,41.8114484
" Case Western Reserve University/University Hospitals Cleveland Medical Center Program","University Hospitals Cleveland Medical Center
11100 Euclid Avenue
Cleveland, OH 44106-5007
","(216) 844-7330
","Continued Accreditation","mada.helou@uhhospitals.org",-81.6053795,41.5061228
