"Program Name","Address","Phone","Accreditation Status","Email","lon","lat"
" Abington Memorial Hospital Program","Abington Memorial Hospital Abington Family Medicine Residency Program
500 Old York Road Suite 108
Jenkintown, PA 19046
","(215) 481-2729
","Continued Accreditation","meghan.wadlinger@jefferson.edu",-75.1257567,40.0996341
" Abrazo Health Network Program","Abrazo Health Network
Family Medicine Residency Program 2000 West Bethany Home Road Phoenix, AZ 85015
","(602) 246-5521","Continued Accreditation",NA,-112.1020955,33.5254072
" AccessHealth Program","101 Bill Baker Way Beckley, WV 25801
","(304) 252-8551
","Initial Accreditation","kballard@accesshealthwv.com",-81.1576356,37.7824988
" Adena Regional Medical Center Program","272 Hospital Rd.
Chillicothe, OH 45601
","(740) 779-4900
","Continued Accreditation","jdesmarais@adena.org",-82.9683385,39.3962346
" AdventHealth Florida (East Orlando) Program","7975 Lake Underhill Road Suite 210
Orlando, FL 32822
","(407) 303-6492
","Continued Accreditation","PATRICIA.HORVATH@AdventHealth.com",-81.2779501,28.540023
" AdventHealth Florida (Sebring) Program","4200 Sun N Lake Blvd. Sebring, FL 33872
","(407) 325-0433
","Initial Accreditation","Kevin.Sherin.MD@AdventHealth.com",-81.5105882,27.5396502
" AdventHealth Florida (Winter Park) Program","AdventHealth Family Medicine Winter Park 133 Benmore Dr.
Suite 201
Winter Park, FL 32792 ","(407) 646-7757
","Continued Accreditation","Mark.Uva@adventhealth.com",-81.3272372,28.5957689
" Adventist Health Glendale Program","Adventist Health Glendale Family Medicine Center 1509 Wilson Terrace
Glendale, CA 91206
","(818) 409-8328
","Continued Accreditation","hallak@ah.org",-118.2308703,34.1500714
" Adventist Health Hanford Central Valley Network Program","HANFORD FAMILY PRACTICE RESIDENCY PROGRAM
1025 N Douty Street Suite 105
Hanford, CA 93230
","(559) 537-0224
","Continued Accreditation","patrijr@ah.org",-119.6447304,36.3368583
" Adventist Health Hanford Central Valley Network/Tulare Program","869 N. Cherry Street Tulare, CA 93274
","(559) 537-0050
","Initial Accreditation","sammonsj@ah.org",-119.3385333,36.2211168
" Adventist Health Ukiah Valley Program","275 Hospital Drive
Ukiah, CA 95482
","(678) 371-4498
","Continued Accreditation without Outcomes","parungjl@ah.org",-123.2028906,39.1530652
" Adventist Health White Memorial Program","White Memorial Medical Center 1720 Cesar E Chavez Avenue Los Angeles, CA 90033
","(323) 260-5789
","Continued Accreditation","tarinl1@ah.org",-118.2180354,34.0488037
" Adventist Hinsdale Hospital Program","Adventist Hinsdale Hospital 135 North Oak Street Hinsdale, IL 60521
","(630) 856-8939
","Continued Accreditation","cassie.bruggemann@amitahealth.org",-87.9206935,41.8056094
" Adventist LaGrange Memorial Hospital Program","Adventist La Grange Memorial Hospital Family Medicine Residency
1325 Community Memorial Drive La Grange, IL 60525
","(708) 245-8955
","Continued Accreditation","jennifer.swoyer@amitahealth.org",-87.8875747,41.7976329
" Advocate Health Care/Advocate Christ Medical Center Program","Advocate Christ Medical Center Family Medicine Residency Program
9555 South 52nd Avenue Suite F
Oak Lawn, IL 60453 ","(708) 857-5909
","Continued Accreditation","roxanne.smith@aah.org",-87.7503278,41.7182098
" Advocate Health Care/Advocate Illinois Masonic Medical Center Program","Advocate Illinois Masonic
Family Medicine Residency Program 836 West Wellington Avenue Chicago, IL 60657
","(773) 296-8428
","Continued Accreditation","ILMasonicFPR@advocatehealth.com",-87.6511754,41.9367723
" Advocate Health Care/Advocate Lutheran General Hospital Program","Advocate Lutheran General Hospital 1775 Dempster Street - 6 South
Mail Box 50
Park Ridge, IL 60068 ","(847) 723-7969
","Continued Accreditation","inna.gutman@aah.org",-87.847611,42.0384783
" Aiken Regional Medical Centers Program","302 University Parkway
Aiken, SC 29801
","(803) 641-5275
","Initial Accreditation","aikenfm@uhsinc.com",-81.7617823,33.5711196
" Akron General Medical Center/NEOMED Program","1 Akron General Avenue ACC Building, 2nd Floor Akron, OH 44307
","(330) 344-6980
","Continued Accreditation","HarleyD@ccf.org",-81.5324703,41.0783249
" Albany Medical Center Program","Albany Medical College
Department of Family and Community Medicine
391 Myrtle Ave, Suite 4B Albany, NY 12208-3472
","(518) 264-2866
","Continued Accreditation","kirkb@amc.edu",-73.7777483,42.6525391
" Albert Einstein Healthcare Network/Einstein Medical Center Montgomery Program","1330 Powell St.
Suite 409
Karabots Medical Bldg. Norristown, PA 19401
","(484) 622-7005
","Continued Accreditation without Outcomes","philgenc@einstein.edu",-75.3361993,40.1237322
" Allegheny Health Network Medical Education Consortium (FH) Program","Forbes Family Medicine Residency Program 2550 Mosside Boulevard
Suite 500
Monroeville, PA 15146
","(412) 457-1050","Continued Accreditation",NA,-79.7525803,40.4269983
" Allegheny Health Network Medical Education Consortium (SVH) Program","Saint Vincent Health Center
311 West 24th St. 4th Floor Professional Bldg
Erie, PA 16502
","(814) 452-5105
","Continued Accreditation","caitlin.clark@ahn.org",-80.0811094,42.1107124
" Allina Health Program","United Family Medicine Residency Program 233 Grand Ave.
St Paul, MN 55102 ","(651) 241-1001
","Continued Accreditation","stephanie.rosener@allina.com",-93.1103128,44.9415187
" AltaMed Health Services Program","8627 Atlantic Avenue South Gate, CA 90280 ","(323) 312-2603
","Initial Accreditation","fmresidency@altamed.org",-118.1841849,33.9545762
" Altru Health System (Grand Forks) Program","Altru Health System
Altru Family Medicine Residency 725 Hamline Street
Grand Forks, ND 58203 ","(701) 780-6810","Continued Accreditation",NA,-97.069704,47.9263597
