"Program Name","Address","Phone","Accreditation Status","Email","lon","lat"
" Adena Regional Medical Center Program","Psychiatry Residency Program Graduate Medical Education 272 Hospital Road
Chillicothe, OH 45601
","(740) 773-1141
","Continued Accreditation","Nathan.Shiflett@va.gov",-82.9714,39.398829
" Advocate Health Care/Advocate Lutheran General Hospital Program","Advocate Lutheran General Hospital Department of Psychiatry, 8 South 1775 West Dempster St
Park Ridge, IL 60068 ","(847) 723-5884
","Continued Accreditation","Denise.Turner-Stewart@aah.org",-87.8504115,42.0383774
" Akron General Medical Center Program","Cleveland Clinic Akron General Hospital 1 Akron General Avenue
Akron, OH 44307
","(330) 344-6525
","Initial Accreditation","elahim@ccf.org",-81.5316893,41.0783044
" Albany Medical Center Program","Albany Medical College South Clinical Campus
Department of Psychiatry MC-164 2 Clara Barton Drive
Albany, NY 12208
","(518) 262-7195","Continued Accreditation",NA,-73.7777483,42.6525391
" Albert Einstein Healthcare Network Program","Albert Einstein Medical Center 5501 Old York Road Philadelphia, PA 19141
","(215) 456-9131
","Continued Accreditation","psychres@einstein.edu",-75.1435062,40.0368212
" Allegheny Health Network Medical Education Consortium (AGH) Program","Allegheny General Hospital 320 East North Avenue Pittsburgh, PA 15212
","(412) 330-4242
","Continued Accreditation","gary.swanson@ahn.org",-80.0033123,40.4569171
" Arnot Ogden Medical Center Program","600 Roe Ave
Elmira, NY 14905
","(607) 442-1713
","Continued Accreditation","gme@arnothealth.org",-76.8279478,42.1000552
" Arrowhead Regional Medical Center Program","400 N Pepper Ave Colton, CA 92324
","(909) 580-3830
","Continued Accreditation","cannadyl@armc.sbcounty.gov",-117.3512727,34.0752955
" AtlantiCare Regional Medical Center Program","AtlantiCare Regional Medical Center 65 W Jimmie Leeds Rd
Pomona, NJ 08240
","(609) 745-4039
","Continued Accreditation","Brian.Isaacson@atlanticare.org",-74.5404036,39.4783725
" Baptist Health - UAMS Program","3201 Springhill Drive
Suite 200
North Little Rock, AR 72117 ","(501) 534-4360
","Initial Accreditation","gme@baptist-health.org",-92.2189708,34.7824235
" BayCare Health System  Program","Magnolia Plaza
7809 Massachusetts Avenue New Port Richey, FL 34653 ","(727) 315-8612
","Initial Accreditation","gmepsych@baycare.org",-82.6855541,28.259603
" Baylor College of Medicine Program","Baylor College of Medicine One Baylor Plaza BCM 350 Houston, TX 77030
","(214) 673-4766
","Continued Accreditation","lindsey.pershern@bcm.edu",-95.396499,29.7105296
" Beaumont Health Program","26901 Beaumont Boulevard 3D-1708
Southfield, MI 48033
","(248) 787-3139
","Initial Accreditation","Jeffrey.Guina@beaumont.org",-83.2725408,42.4834123
" Berkshire Medical Center Program","Berkshire Medical Center 725 North Street
Pittsfield, MA 01201
","(413) 447-2162
","Continued Accreditation","nhamilton@bhs1.org",-73.2488563,42.4598841
" Beth Israel Deaconess Medical Center Program","BIDMC Psychiatry Residency Training Program
330 Brookline Avenue
Rabb 2
Boston, MA 02215
","(617) 667-3451
","Continued Accreditation","rjohns16@bidmc.harvard.edu",-71.1052834,42.3374378
" Boston University Medical Center Program","Boston University Medical Center 720 Harrison Avenue, DOB Suite 915
Boston, MA 02118
","(617) 414-1961
","Continued Accreditation","amber.tucker@bmc.org",-71.071089,42.33769
" Boston VA
Healthcare System (Brockton- West Roxbury)/Harvard Medical School Program","Harvard South Shore Psychiatry Residency Training Program
940 Belmont Street - 116A7 Brockton, MA 02301
","(774) 826-2457
","Continued Accreditation","deisy.ramirez@va.gov",-71.0539174,42.0594657
" Brigham and Women's Hospital/Harvard Medical School Program","Department of Psychiatry: Residency Training
Brigham and Women’s Hospital 75 Francis Street
Boston, MA 02115
","(541) 930-0028
","Continued Accreditation","PsychRes@bwh.harvard.edu",-71.1067067,42.3360887
" BronxCare Health System Program","Bronx Care Health System 1276 Fulton Avenue
Bronx, NY 10456
","(914) 426-5127
","Continued Accreditation","pkorenis@bronxcare.org",-73.9026022,40.8313986
" Broward Health Program","6401 N Federal Hwy
Fort Lauderdale, FL 33308 ","(954) 299-9836","Initial Accreditation",NA,-80.1110149,26.2068048
" Butler
Hospital/Brown University Program","Butler Hospital
Psychiatry Residency Program 345 Blackstone Boulevard
Providence, RI 02906
","(401) 455-6375
","Continued Accreditation","Tracey_Guthrie@brown.edu",-71.3809124,41.843502
" California Pacific Medical Center Program","California Pacific Medical Center (Pacific Campus)
2340 Clay Street, 7th Floor San Francisco, CA 94115 ","(415) 600-3510
","Continued Accreditation with Warning","zahajsj@sutterhealth.org",-122.4318162,37.7912518
" Cambridge Health Alliance Program","Cambridge Hospital Macht Building
1493 Cambridge Street
Cambridge, MA 02139
","(617) 665-1152
","Continued Accreditation","aafrank@cha.harvard.edu",-71.1051637,42.3754145
" Campbell University Program","1638 Owen Drive
Box 138
Fayetteville, NC 24304
","(910) 615-3741
","Continued Accreditation without Outcomes","rbenedict@capefearvalley.com",-78.9350704,35.0317826
" Carilion Clinic- Virginia Tech Carilion School of Medicine Program","2017 S. Jefferson St., 1st Floor Administrative Suites Roanoke, VA 24014
","(570) 360-0008","Continued Accreditation",NA,-79.9446554,37.2501427
" Carle Foundation Hospital Program","1802 South Mattis Avenue Champaign, IL 61821
","(617) 947-3077
","Continued Accreditation","PsychRP@Carle.com",-88.2753904,40.0946369
" Carolinas Medical Center Program","501 Billingsley Road
Charlotte, NC 28211
","(703) 355-2000
","Continued Accreditation","Susan.Gray@AtriumHealth.org",-80.8035833,35.1923455
